method,query_id,camera_id,runA_frame,stratum,ground_truth_label,runB_min,runB_max,raw_predicted_runB_frame,gated_by,accepted,predicted_runB_frame,correct,interval_distance,preferred_frame_error,signed_interval_error,signed_preferred_error
submitted_plus_both_gates,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1541,,True,1541,False,1,3,1,3
submitted_plus_both_gates,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1650,,True,1650,False,9,11,9,11
submitted_plus_both_gates,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1663,,True,1663,False,2,4,2,4
submitted_plus_both_gates,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
submitted_plus_both_gates,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
submitted_plus_both_gates,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
submitted_plus_both_gates,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2211,,True,2211,False,8,9,8,9
submitted_plus_both_gates,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2250,,True,2250,False,6,7,6,7
submitted_plus_both_gates,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2379,,True,2379,False,3,3,3,3
submitted_plus_both_gates,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2480,,True,2480,False,2,3,2,3
submitted_plus_both_gates,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,,,False,,,,,,
