query_id,camera_id,runA_frame,label,runB_frame,runB_min,runB_max,pose_dx_px,pose_dy_px,pose_compensated,far_line_x_frac,near_line_x_frac,compare_mode,source
cam0_v3_19,cam0,1972,match,1922,1922,1922,0.0,0.0,True,0.4536,0.0979,side,manual_viewer_blind
cam0_v3_20,cam0,2164,match,2128,2128,2128,0.0,0.0,True,0.3447,0.5142,side,manual_viewer_blind
cam0_v3_21,cam0,2399,match,2386,2383,2389,0.0,0.0,True,0.436,0.1183,side,manual_viewer_blind
cam0_v3_22,cam0,2521,match,2529,2529,2529,0.0,0.0,True,0.5816,0.1498,side,manual_viewer_blind
cam0_v3_23,cam0,2590,no_correspondence,,,,0.0,0.0,True,0.6166,0.4459,side,manual_viewer_blind
cam5_v3_00,cam5,287,match,200,199,201,10.0,0.0,True,0.8306,0.2743,side,manual_viewer_blind
cam5_v3_01,cam5,316,match,231,231,231,10.0,0.0,True,0.3228,0.6708,side,manual_viewer_blind
cam5_v3_02,cam5,450,match,377,377,377,71.0,0.0,True,0.8701,0.0825,side,manual_viewer_blind
cam5_v3_03,cam5,479,match,388,388,388,36.0,0.0,True,0.8904,0.1486,side,manual_viewer_blind
cam5_v3_04,cam5,510,match,415,415,415,86.0,0.0,True,0.8616,0.2415,side,manual_viewer_blind
cam5_v3_05,cam5,526,match,433,432,434,16.0,0.0,True,0.7243,0.0521,side,manual_viewer_blind
cam5_v3_06,cam5,566,undetermined,,,,-40.0,-12.0,True,0.35,0.65,side,manual_viewer_blind
cam5_v3_07,cam5,619,match,522,521,523,60.0,0.0,True,0.6915,0.3262,side,manual_viewer_blind
cam5_v3_08,cam5,811,match,706,706,706,81.0,0.0,True,0.1611,0.3824,side,manual_viewer_blind
cam5_v3_09,cam5,1165,match,1064,1064,1064,98.0,0.0,True,0.1348,0.4479,side,manual_viewer_blind
cam5_v3_10,cam5,1255,match,1156,1156,1156,85.0,0.0,True,0.7083,0.1689,side,manual_viewer_blind
cam5_v3_11,cam5,1382,match,1279,1279,1279,85.0,0.0,True,0.7154,0.3236,side,manual_viewer_blind
cam5_v3_12,cam5,1514,match,1419,1418,1420,76.0,0.0,True,0.1634,0.4036,side,manual_viewer_blind
cam5_v3_13,cam5,1628,match,1548,1546,1550,158.0,0.0,True,0.9825,0.48,side,manual_viewer_blind
cam5_v3_14,cam5,1638,match,1558,1557,1559,200.0,0.0,True,0.9379,0.4164,side,manual_viewer_blind
cam5_v3_15,cam5,1691,match,1621,1621,1621,160.0,0.0,True,0.8414,0.6461,side,manual_viewer_blind
cam5_v3_16,cam5,1925,match,1873,1873,1873,106.0,0.0,True,0.668,0.2557,side,manual_viewer_blind
cam5_v3_17,cam5,1948,match,1897,1897,1897,70.0,0.0,True,0.6527,0.4887,side,manual_viewer_blind
cam5_v3_18,cam5,2146,match,2111,2111,2111,70.0,0.0,True,0.8743,0.4863,side,manual_viewer_blind
cam5_v3_19,cam5,2223,match,2188,2188,2188,81.0,0.0,True,0.2051,0.4493,side,manual_viewer_blind
cam5_v3_20,cam5,2440,match,2440,2439,2441,166.0,0.0,True,0.9561,0.3547,side,manual_viewer_blind
cam5_v3_21,cam5,2511,match,2512,2510,2514,143.0,0.0,True,0.8954,0.7527,side,manual_viewer_blind
cam5_v3_22,cam5,2541,match,2551,2551,2551,66.0,0.0,True,0.9199,0.1707,side,manual_viewer_blind
cam5_v3_23,cam5,2562,match,2585,2584,2586,86.0,0.0,True,0.8402,0.2982,side,manual_viewer_blind
